1,19,15,39,Below Average
1,21,15,81,Poor
0,20,16,6,Below Average
0,23,16,77,Poor
0,31,17,40,Below Average
0,22,17,76,Poor
0,35,18,6,Below Average
0,23,18,94,Poor
1,64,19,3,Below Average
0,30,19,72,Poor
1,67,19,14,Below Average
0,35,19,99,Poor
0,58,20,15,Below Average
0,24,20,77,Poor
1,37,20,13,Below Average
1,22,20,79,Poor
0,35,21,35,Below Average
1,20,21,66,Poor
1,52,23,29,Below Average
0,35,23,98,Poor
1,35,24,35,Below Average
1,25,24,73,Poor
0,46,25,5,Below Average
1,31,25,73,Poor
0,54,28,14,Below Average
1,29,28,82,Poor
0,45,28,32,Below Average
1,35,28,61,Poor
0,40,29,31,Below Average
0,23,29,87,Poor
1,60,30,4,Below Average
0,21,30,73,Poor
1,53,33,4,Below Average
1,18,33,92,Poor
0,49,33,14,Below Average
0,21,33,81,Poor
0,42,34,17,Below Average
0,30,34,73,Poor
0,36,37,26,Below Average
0,20,37,75,Poor
0,65,38,35,Below Average
1,24,38,92,Poor
1,48,39,36,Below Average
0,31,39,61,Poor
0,49,39,28,Below Average
0,24,39,65,Poor
0,50,40,55,Average
0,27,40,47,Average
0,29,40,42,Average
0,31,40,42,Average
0,49,42,52,Average
1,33,42,60,Average
0,31,43,54,Average
1,59,43,60,Average
0,50,43,45,Average
1,47,43,41,Average
0,51,44,50,Average
1,69,44,46,Average
0,27,46,51,Average
1,53,46,46,Average
1,70,46,56,Average
1,19,46,55,Average
0,67,47,52,Average
0,54,47,59,Average
1,63,48,51,Average
1,18,48,59,Poor
0,43,48,50,Average
0,68,48,48,Average
1,19,48,59,Poor
0,32,48,47,Average
1,70,49,55,Average
0,47,49,42,Average
0,60,50,49,Average
0,60,50,56,Average
1,59,54,47,Average
1,26,54,54,Average
0,45,54,53,Average
1,40,54,48,Average
0,23,54,52,Average
0,49,54,42,Average
1,57,54,51,Average
1,38,54,55,Average
1,67,54,41,Average
0,46,54,44,Average
0,21,54,57,Average
1,48,54,46,Average
0,55,57,58,Average
0,22,57,55,Average
0,34,58,60,Average
0,50,58,46,Average
0,68,59,55,Average
1,18,59,41,Average
1,48,60,49,Average
0,40,60,40,Average
0,32,60,42,Average
1,24,60,52,Average
0,47,60,47,Average
0,27,60,50,Average
1,48,61,42,Average
1,20,61,49,Average
0,23,62,41,Average
0,49,62,48,Average
1,67,62,59,Average
1,26,62,55,Average
1,49,62,56,Average
0,21,62,42,Average
0,66,63,50,Average
1,54,63,46,Average
1,68,63,43,Average
1,66,63,48,Average
1,65,63,52,Average
0,19,63,54,Average
0,38,64,42,Average
1,19,64,46,Average
0,18,65,48,Average
0,19,65,50,Average
0,63,65,43,Average
0,49,65,59,Average
0,51,67,43,Average
0,50,67,57,Average
1,27,67,56,Average
0,38,67,40,Average
0,40,69,58,Average
1,39,69,91,Above Average
0,23,70,29,Rich
0,31,70,77,Above Average
1,43,71,35,Average
1,40,71,95,Above Average
1,59,71,11,Rich
1,38,71,75,Above Average
1,47,71,9,Rich
1,39,71,75,Above Average
0,25,72,34,Rich
0,31,72,71,Above Average
1,20,73,5,Rich
0,29,73,88,Above Average
0,44,73,7,Rich
1,32,73,73,Above Average
1,19,74,10,Rich
0,35,74,72,Above Average
0,57,75,5,Rich
1,32,75,93,Above Average
0,28,76,40,Average
0,32,76,87,Above Average
1,25,77,12,Rich
1,28,77,97,Above Average
1,48,77,36,Rich
0,32,77,74,Above Average
0,34,78,22,Rich
1,34,78,90,Above Average
1,43,78,17,Rich
1,39,78,88,Above Average
0,44,78,20,Rich
0,38,78,76,Above Average
0,47,78,16,Rich
0,27,78,89,Above Average
1,37,78,1,Rich
0,30,78,78,Above Average
1,34,78,1,Rich
0,30,78,73,Above Average
0,56,79,35,Rich
0,29,79,83,Above Average
1,19,81,5,Rich
0,31,81,93,Above Average
1,50,85,26,Rich
0,36,85,75,Above Average
1,42,86,20,Rich
0,33,86,95,Above Average
0,36,87,27,Rich
1,32,87,63,Above Average
1,40,87,13,Rich
1,28,87,75,Above Average
1,36,87,10,Rich
1,36,87,92,Above Average
0,52,88,13,Rich
0,30,88,86,Above Average
1,58,88,15,Rich
1,27,88,69,Above Average
1,59,93,14,Rich
1,35,93,90,Above Average
0,37,97,32,Rich
0,32,97,86,Above Average
1,46,98,15,Rich
0,29,98,88,Above Average
0,41,99,39,Rich
1,30,99,97,Above Average
0,54,101,24,Rich
1,28,101,68,Above Average
0,41,103,17,Rich
0,36,103,85,Above Average
0,34,103,23,Rich
0,32,103,69,Above Average
1,33,113,8,Rich
0,38,113,91,Above Average
0,47,120,16,Rich
0,35,120,79,Above Average
0,45,126,28,Rich
1,32,126,74,Above Average
